State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Rajasthan,22,Rajsamand ,Rasa Singh Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=368,,Male,
Rajasthan,23,Bhilwara ,V.P. Singh,BJP,,,Male,
Rajasthan,24,Kota ,Dr. Shyam Sharma,BJP,,,Male,Graduate
Rajasthan,25,Jhalawad ,Dushyant Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4005,,Male,
Sikkim,1,Sikkim ,Prof. Padam Bahadur Chettri ,BJP,,,Male,
Tripura,1,Tripura West ,Nilmani Deb,BJP,,,Male,
Tripura,2,Tripura East  ,Pulin Behari Dewan ,BJP,,ST,Male,
Uttar Pradesh,2,Kairana ,Hukum Singh Gurjar,BJP,,,Male,
Uttar Pradesh,6,Muradabad ,Sarvesh Singh,BJP,,,Male,
Uttar Pradesh,7,Rampur ,Mukhtar Abbas Naqvi,BJP,,,Male,
Uttar Pradesh,12,Ghaziabad ,Rajnath Singh,BJP,,,Male,
Uttar Pradesh,13,Goutam Buddh Nagar ,Mahesh Sharma,BJP,,,Male,Graduate
Uttar Pradesh,14,Bulandshahar  ,Ashok Pradhan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=333,SC,Male,
Uttar Pradesh,18,Agra ,Ramshankar Katheria,BJP,,,Male,
Uttar Pradesh,19,Fatehpur Sikri ,Aridaman Singh,BJP,,,Male,
Uttar Pradesh,20,Firozabad ,Raghuvar Dayal Verma,BJP,,,Male,
Uttar Pradesh,21,Mainpuri ,Miss Trapxi Shakya,BJP,,,Male,
Uttar Pradesh,22,Etah,Shyam Singh Shakya,BJP,,,Male,Graduate
Uttar Pradesh,24,Aonla ,Meneka Gandhi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=129,,Male,
Uttar Pradesh,25,Bareilly ,Santosh Gangwar,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=131,,Male,
Uttar Pradesh,26,Pilibhit ,Varun Gandhi,BJP,,,Male,
Uttar Pradesh,27,Shahjahanpur  ,Krishna Raj,BJP,,SC,Male,
Uttar Pradesh,28,Khiri ,Ajay Mishra Teni,BJP,,,Male,
Uttar Pradesh,29,Dhaurahra ,Raghvendra Singh,BJP,,,Male,
Uttar Pradesh,30,Sitapur ,Gyan Tiwari,BJP,,,Male,
Uttar Pradesh,31,Hardoi  ,Poornima Verma,BJP,,SC,Female,
Uttar Pradesh,32,Mishrikh  ,Anil Bhargav,BJP,,SC,Male,
Uttar Pradesh,33,Unnao ,Ramesh Kumar Singh,BJP,,,Male,
Uttar Pradesh,34,Mohanlal Ganj  ,Ranjan Choudhary (Pasi),BJP,,SC,Male,
Uttar Pradesh,35,Lucknow ,Lalji Tandon,BJP,,,Male,
Uttar Pradesh,36,Rae Bareli,R.V. Singh,BJP,,,Male,
Uttar Pradesh,37,Amethi,Pradeep Singh,BJP,,,Male,
Uttar Pradesh,38,Sultanpur ,Surajbhan Singh,BJP,,,Male,
Uttar Pradesh,39,Pratapgarh ,Laxmi Narayan Pandey,BJP,,,Male,
Uttar Pradesh,40,Farukhabad ,Mithilesh Aggarwal,BJP,,,Female,
Uttar Pradesh,41,Etawah  ,Kamlesh Katheriya,BJP,,SC,Female,
Uttar Pradesh,42,Kannauj ,Subrat Pathak,BJP,,,Male,
Uttar Pradesh,43,Kanpur ,Satish Mahana,BJP,,,Male,
Uttar Pradesh,44,Akbarpur ,"Arun Tiwari ""Baba""",BJP,,,Male,
Uttar Pradesh,45,Jalaun  ,Bhanu Pratap Verma,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3824,SC,Male,
Uttar Pradesh,46,Jhansi ,Ravindra Shukla,BJP,,,Male,
Uttar Pradesh,47,Hamirpur ,Pritam Singh Lodhi,BJP,,,Male,
Uttar Pradesh,48,Banda ,Amita Bajpai,BJP,,,Female,
Uttar Pradesh,49,Fatehpur ,Radhey Shyam Gupxa,BJP,,,Male,
Uttar Pradesh,50,Koshambi  ,Goutam Choudhary,BJP,,SC,Male,
Uttar Pradesh,51,Phulpur ,Karan Singh Patel,BJP,,,Male,
Uttar Pradesh,53,Barabanki  ,Ram Naresh Rawat,BJP,,SC,Male,
Uttar Pradesh,54,Faizabad ,Lallu Singh,BJP,,,Male,
Uttar Pradesh,55,Ambedkar Nagar ,Vinay Katiyar,BJP,,,Male,
Uttar Pradesh,56,Bahraich  ,Akshaywar Lal Gour,BJP,,SC,Male,
Uttar Pradesh,57,Kesharganj ,Lalta Prasad Mishra,BJP,,,Male,
Uttar Pradesh,58,Shrawasti ,Satyadev Singh,BJP,,,Male,
Uttar Pradesh,59,Gonda ,Rampratap Singh,BJP,,,Male,
Uttar Pradesh,60,Dumariganj ,Jaipratap Singh,BJP,,,Male,
Uttar Pradesh,61,Basti ,Y.D. Singh,BJP,,,Male,
Uttar Pradesh,62,Sant Kabir Nagar ,Sharad Tripathi,BJP,,,Male,
Uttar Pradesh,63,Maharajganj ,Pankaj Chaudhary,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3479,,Male,
Uttar Pradesh,64,Gorakhpur ,Yogi Aditya Nath,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=7,,Male,
Uttar Pradesh,65,Kushi Nagar ,Vijay Dubey,BJP,,,Male,
Uttar Pradesh,66,Deoria ,Gen. Prakashmani Tripathi,BJP,,,Male,
Uttar Pradesh,67,Bansgaon  ,Kamlesh Paswan,BJP,,SC,Male,
Uttar Pradesh,68,Lalganj  ,Neelam Sonkar,BJP,,SC,Female,
Uttar Pradesh,69,Azamgarh ,Ramakant Yadav,BJP,,,Male,
Uttar Pradesh,70,Ghosi ,Ram Ikbal Singh,BJP,,,Male,
Uttar Pradesh,72,Balia ,Manoj Kumar Sinha,BJP,,,Male,
Uttar Pradesh,74,Machhli Shahar  ,Vidhyasagar Sonkar,BJP,,SC,Male,
Uttar Pradesh,75,Ghazipur ,Prabhu Nath Choudhary,BJP,,,Male,
Uttar Pradesh,76,Chandauli ,Jawahar Jaiswal,BJP,,,Male,
Uttar Pradesh,77,Varanasi ,Murli Manohar Joshi,BJP,,,Male,
Uttar Pradesh,78,Bhadohi ,Mahendra Pandey,BJP,,,Male,
Uttar Pradesh,79,Mirzapur ,Anurag Singh,BJP,,,Male,
Uttar Pradesh,80,Robertsganj  ,Ramsakal ,BJP,,SC,Male,
Uttarakhand,1,Tehri ,Jaspal Rana,BJP,,,Male,
Uttarakhand,2,Garhwal,T.P.S. Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4245,,Male,Graduate
Uttarakhand,3,Almora,Ajay Tamta,BJP,,SC,Male,
Uttarakhand,4,Nainital,Bacchi Singh Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=29,,Male,
Uttarakhand,5,Haridwar ,Madan Kaushik ,BJP,,,Male,
West Bengal,1,Cooch Behar  ,Bhabendra Nath Barman,BJP,,SC,Male,
West Bengal,3,Jalpaiguri  ,Dipen Pramanik,BJP,,SC,Male,
West Bengal,4,Darjeeling ,Dawa Sherpa,BJP,,,Male,
West Bengal,5,Raigunj ,Gopesh Chandra Sarkar,BJP,,,Male,
West Bengal,6,Balurghat ,Subhas Chandra Barman,BJP,,,Male,
West Bengal,7,Uttar Malda ,Amlan Bhaduri,BJP,,,Male,
West Bengal,8,Malda Dakshin ,Dipak Chowdhury,BJP,,,Male,
West Bengal,9,Jangipur ,Debasis Chandra Mazumdar,BJP,,,Male,
West Bengal,10,Baharampur ,Bidyut Kumar Haldar,BJP,,,Male,
West Bengal,11,Murshidabad ,Nirmal Saha,BJP,,,Male,
West Bengal,12,Krishnagar ,Satya Brata Mookherjee,BJP,,,Male,
West Bengal,13,Ranaghat  ,Sukalyan Roy,BJP,,SC,Male,
West Bengal,14,Bangaon  ,K.P. Majumdar,BJP,,SC,Male,
West Bengal,15,Barrackpore ,Prabhakar Tewari,BJP,,,Male,
West Bengal,16,Dum Dum ,Tapan Sikdar,BJP,,,Male,
West Bengal,17,Barasat ,Bratin Sengupxa,BJP,,,Male,
West Bengal,18,Basirhat ,Swapan Kumar Das,BJP,,,Male,
West Bengal,19,Joynagar  ,Nirod Haldar,BJP,,SC,Male,
West Bengal,20,Mathurapur  ,Binay Kumar Biswas,BJP,,SC,Male,
West Bengal,21,Diamond Harbour ,Abhijit Das,BJP,,,Male,
West Bengal,22,Jadavpur ,Sanat Bhattacharya,BJP,,,Male,
West Bengal,23,Kolkata Dakshin ,Jyotsna Bannerjee,BJP,,,Female,
West Bengal,24,Kolkata Uttar ,Tathagata Roy,BJP,,,Male,
West Bengal,25,Howrah ,Polly Mukherjee,BJP,,,Female,
West Bengal,26,Uluberia ,Rahul Chakrabarty,BJP,,,Male,
West Bengal,27,Sreerampur ,Debabrata Choudhary,BJP,,,Male,
West Bengal,28,Hoogly ,Chunilal Chakravarti,BJP,,,Male,Graduate
West Bengal,29,Arambag  ,Murari Bera,BJP,,SC,Male,
West Bengal,30,Tamluk ,Rajshree Choudhary,BJP,,,Female,
West Bengal,31,Kanthi ,Amalesh Mishra,BJP,,,Male,
West Bengal,32,Ghatal ,Motilal Khatua,BJP,,,Male,
West Bengal,33,Jhargram  ,Nabendu Mahali,BJP,,ST,Male,
West Bengal,34,Medinipur ,Pradip Pattanayak,BJP,,,Male,
West Bengal,35,Purulia ,Sayantan Bose,BJP,,,Male,
West Bengal,36,Bankura ,Rahul Sinha,BJP,,,Male,
West Bengal,37,Bishnupur  ,Jayanta Mondal,BJP,,SC,Male,Graduate
West Bengal,38,Bardhaman Purba  ,Mahitosh Bauri,BJP,,SC,Male,
West Bengal,39,Burdwan ,Syed Ali Afzal Chand,BJP,,,Male,
West Bengal,40,Asansol ,Surya Roy,BJP,,,Male,
West Bengal,41,Bolpur  ,Arjun Saha,BJP,,SC,Male,
West Bengal,42,Birbhum ,Tapas Mukherjee ,BJP,,,Male,
Madhya Pradesh,16,Chhindwara,Kamal Nath,INC,,,Male,
Madhya Pradesh,4,Guna,Jyotiraditya Scindia,INC,,,Male,
Madhya Pradesh,24,Ratlam,Kantilal Bhuria,INC,,,Male,
Madhya Pradesh,28,Khandwa,Arun Yadav,INC,,,Male,
Madhya Pradesh,1,Murena,Ram Niwas Rawat,INC,,,Male,
Madhya Pradesh,3,Gwalior,Ashok Singh,INC,,,Male,
Madhya Pradesh,6,Tikamgarh,Vrindawan Ahirwar,INC,,,Male,
Madhya Pradesh,7,Damoh,Chandrabhan Singh,INC,,,Male,
Madhya Pradesh,10,Rewa,Sunderlal Tiwari,INC,,,Male,
Madhya Pradesh,15,Balaghat,Vishveshwar Bhagat,INC,,,Male,
Madhya Pradesh,25,Dhar,Gajendra Singh Rajukhedi,INC,,,Male,
Madhya Pradesh,25,Betul,Oza Ram,INC,,,Male,
Chandigarh,1,Chandigarh,Pawan Kumar Bansal,INC,,,Male,
Assam,2,Silchar,Santosh Mohan Dev,INC,,,Male,
Assam,12,Jorhat,B. K. Handique,INC,,,Male,
Assam,1,Karimganj,Lalit Mohan Suklabaidyae,INC,,SC,Male,
Assam,3,Autonomous District,Biren Singh Engti,INC,,ST,Male,
Assam,9,Tezpur,M. K. Subba,INC,,,Male,
Assam,11,Kaliabor,Dip Gogoi,INC,,,Male,
Assam,6,Barpeta,Ismail Hussain,INC,,,Male,
Assam,7,Gauhati,Robin Bordoloi,INC,,,Male,
Assam,8,Mangaldoi,Madhab Rajbonshi,INC,,,Male,
Assam,10,Nowgong,Anil Raja,INC,,,Male,
Assam,13,Dibrugarh,P. S. Ghatowar,INC,,,Male,
Nagaland,1,Nagaland,K. A. Sangtam,INC,,,Male,
Uttar Pradesh,3,Muzzafarnagar,HARENDRA MALIK,INC,,,Male,
Uttar Pradesh,7,RAMPUR,BEGUM NOOR BANO,INC,,,Male,
Uttar Pradesh,12,GHAZIABAD,SUREDNRA PRAKSH GOEL,INC,,,Male,
Uttar Pradesh,14,Bulandshahar  ,DEVI DAYAL,INC,,SC,Male,
Uttar Pradesh,15,ALIGARH,BIJENDRA SINGH,INC,,,Male,
Uttar Pradesh,17,MATHURA,MANVENDRA SINGH,INC,,,Male,
Uttar Pradesh,19,Fatehpur Sikri ,RAJ BABBAR,INC,,,Male,
Uttar Pradesh,25,BAREILLY,PRAVEEN SINGH AIRON,INC,,,Male,
Uttar Pradesh,29,DHAURAHRA,JITIN PRASAD,INC,,,Male,
Uttar Pradesh,33,Unnao ,SMT. ANNU TANDON,INC,,,Female,
Uttar Pradesh,36,RAE BARELI,SMT. SONIA GANDHI,INC,,,Female,
Uttar Pradesh,37,AMETHI,RAHUL GANDHI,INC,,,Male,
Uttar Pradesh,39,Pratapgarh ,SMT. RATNA SINGH,INC,,,Female,
Uttar Pradesh,40,Farukhabad ,SALMAN KHURSHID,INC,,,Male,
Uttar Pradesh,43,KANPUR,SRIPRAKASH JAISWAL,INC,,,Male,
Uttar Pradesh,53,BARABANKI,P.L. PUNIA,INC,,SC,Male,
Uttar Pradesh,54,Faizabad ,NIRMAL KHATRI,INC,,,Male,
Uttar Pradesh,59,GONDA,BENI PRASAD VERMA,INC,,,Male,
Uttar Pradesh,60,Dumariganj ,JAGADAMBIKA PAL,INC,,,Male,
Uttar Pradesh,65,Kushi Nagar ,R.P.N. SINGH,INC,,,Male,
Uttar Pradesh,67,BANSGAON,MAHAVIR PRASAD,INC,,SC,Male,
Uttar Pradesh,70,GHOSI,SMT. SUDHA RAI,INC,,,Female,
Uttar Pradesh,71,SALEMPUR,BHOLA PANDE,INC,,,Male,
Uttar Pradesh,77,Varanasi ,RAJESH MISHRA,INC,,,Male,Graduate
Uttar Pradesh,27,Shahjahanpur  ,Umed Singh,INC,,,Male,
Uttar Pradesh,61,Basti,Basant Chowdhury,INC,,,Male,
Uttar Pradesh,69,Azamgarh,Santosh Kumar Singh,INC,,,Male,
Uttar Pradesh,23,Badaun,Salim Sherwani,INC,,,Male,
Uttar Pradesh,11,Baghpat,Sompal Shastri,INC,,,Male,
Uttar Pradesh,26,Pilibhit,V.M. Singh,INC,,,Male,
Uttar Pradesh,13,Gautam Buddh Nagar,Ramesh Tomar,INC,,,Male,
Uttar Pradesh,66,Deoria,Baleswar Yadav,INC,,,Male,
Uttar Pradesh,1,Saharanpur,Gajendra Singh,INC,,,Male,
Uttar Pradesh,4,Bijnor,Saeed-ud-Jama,INC,,,Male,
Uttar Pradesh,30,Sitapur,Ramlal Rahi,INC,,,Male,
Uttar Pradesh,63,Maharajganj,Harsh Vardhan Singh,INC,,,Male,
Uttar Pradesh,46,Jhansi,Pradeep Jain,INC,,,Male,
Uttar Pradesh,76,Chandauli,Shailender Singh,INC,,,Male,
Uttar Pradesh,58,Shrawasti ,Vinay Pande,INC,,,Male,
Delhi,6,West Delhi,Deepak Bhardwaj,BSP,,,Male,
Delhi,3,East Delhi,Asif Khan,BSP,,,Male,
Delhi,1,Chandni Chowk,Mustaqeem,BSP,,,Male,
Delhi,2,North East Delhi,Haji Dilshad,BSP,,,Male,
Delhi,4,New Delhi,Trilok Chand Sharma,BSP,,,Male,
Delhi,5,North West Delhi,Rakesh Hansh,BSP,,,Male,
Delhi,7,South Delhi,Kanwar Singh Tanwar,BSP,,,Male,
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands ,Tapan Bepari,CPI(M),,,Male,
Assam,2,Silchar,Deepak Bhattacharya,CPI(M),,,Male,
Assam,3,Tezpur,Jiten Sundi,CPI(M),,,Male,
Bihar,1,Supaul,Balram Singh Yadav,CPI(M),,,Male,
Bihar,2,Ujiarpur,Ram Dev Verma,CPI(M),,,Male,
Bihar,3,Bhagalpur,Subodh Roy,CPI(M),,,Male,
Bihar,4,Nawadah,Ganesh Shankar Vidyarthi,CPI(M),,,Male,
Bihar,5,Champaran Paschim,Ramashray Singh,CPI(M),,,Male,
Chhattisgarh,1,Sarguja,Bal Singh,CPI(M),,,Male,
Gujarat,1,Dahod,Singhji Katara,CPI(M),,ST,Male,
Gujarat,2,Rajkot,Sudhirbhai Joshi,CPI(M),,,Male,
Haryana,1,Sirsa,Ram Kumar,CPI(M),,SC,Male,
Himachal Pradesh,1,Mandi,Onkar Shad,CPI(M),,,Male,
Jharkhand,1,Rajmahal,Jyotin Soren,CPI(M),,ST,Male,
Jharkhand,1,Ranchi,Rajendra Singh Munda,CPI(M),,,Male,
Madhya Pradesh,1,Murena,J.K. Pipal,CPI(M),,,Male,
Maharashtra,1,Dindori ,Jiva Pandu Gavit,CPI(M),,ST,Male,
Maharashtra,2,Palghar ,Lahanu Shidva Kom,CPI(M),,ST,Male,
Punjab,1,Anandapur Sahib,Mahan Singh Rori,CPI(M),,,Male,
Rajasthan,1,Sikar,Amra Ram,CPI(M),,,Male,
Rajasthan,2,Bikaner ,Pawan Duggal,CPI(M),,SC,Male,
Rajasthan,3,Sri Ganganagar ,Shopatram Meghwal,CPI(M),,SC,Male,
Tripura,1,Tripura West,Khagen Das,CPI(M),,,Male,
Tripura,2,Tripura East ,Bajuban Riyan,CPI(M),,ST,Male,
Uttar Pradesh,1,Firozabad ,Rajjo Devi (W),CPI(M),,,Male,
Uttar Pradesh,2,Azamgarh,Arun Kumar Singh,CPI(M),,,Male,
Uttarakhand,1,Tehri,Bachi Ram Kaunswal,CPI(M),,,Male,
West Bengal,1,Jalpaiguri ,Mahendra Roy,CPI(M),,SC,Male,
West Bengal,2,Darjeeling,Jibesh Sarkar,CPI(M),,,Male,
West Bengal,3,Raigunj ,Bireswar Lahiri,CPI(M),,,Male,
West Bengal,4,Maldaha Uttar,Sailen Sarkar,CPI(M),,,Male,
West Bengal,5,Malda Dakshin ,Abdur Rezzak,CPI(M),,,Male,Graduate
West Bengal,6,Jangipur,Mriganka Bhattacharya,CPI(M),,,Male,
West Bengal,7,Murshidabad,Anisur Rahaman,CPI(M),,,Male,
West Bengal,8,Krishnagar ,Jyotirmoyee Sikdar (W),CPI(M),,,Male,
West Bengal,9,Ranaghat ,Basudeb Barman,CPI(M),,SC,Male,Graduate
West Bengal,10,Bangaon ,Asim Bala,CPI(M),,SC,Male,
West Bengal,11,Barrackpore ,Tarit Baran Topdar,CPI(M),,,Male,
West Bengal,12,Dum Dum,Amitava Nandy,CPI(M),,,Male,
West Bengal,13,Mathurapur ,Animesh Naskar,CPI(M),,SC,Male,
West Bengal,14,Diamond Harbour,Samik Lahiri,CPI(M),,,Male,
West Bengal,15,Jadavpur,Sujan Chakraborty,CPI(M),,,Male,Graduate
West Bengal,16,Kolkata Dakshin,Rabin Deb,CPI(M),,,Male,
West Bengal,17,Kolkata Uttar,Md. Salim,CPI(M),,,Male,
West Bengal,18,Howrah,Swadesh Chakraborty,CPI(M),,,Male,
West Bengal,19,Uluberia,Hannan Mollah,CPI(M),,,Male,
West Bengal,20,Sreerampur,Santashree Chatterjee,CPI(M),,,Male,
West Bengal,21,Hoogly ,Rupchand Paul,CPI(M),,,Male,
West Bengal,22,Arambag ,Sakti Mohan Malik,CPI(M),,SC,Male,
West Bengal,23,Tamluk,Lakshman Seth,CPI(M),,,Male,
West Bengal,24,Kanthi,Prasanta Pradhan,CPI(M),,,Male,
West Bengal,25,Jhargram ,Pulin Behari Baskey,CPI(M),,ST,Male,Graduate
West Bengal,26,Bankura,Basudeb Acharya,CPI(M),,,Male,
West Bengal,27,Bishnupur  ,Susmita Bauri,CPI(M),,SC,Female,
West Bengal,28,Bardhaman Purba ,Anup Saha,CPI(M),,SC,Male,
West Bengal,29,Bardhaman-Durgapur,Saidul Haque,CPI(M),,,Male,
West Bengal,30,Asansol,Banshagopal Choudhury,CPI(M),,,Male,
West Bengal,31,Bolpur ,Ramchanda Dom,CPI(M),,SC,Male,Graduate
West Bengal,32,Birbhum,Braja Mukherjee,CPI(M),,,Male,
Uttar Pradesh,,Saharanpur,Rashid Masood,SP,,,Male,
Uttar Pradesh,,Kairana,Shadaan Masood,SP,,,Male,
Uttar Pradesh,,Muzzafarnagar,T. Sangit Som,SP,,,Male,
Uttar Pradesh,,Bijnor,Kartar Singh Bhadhana,SP,,,Male,
Uttar Pradesh,,Nagina,Yashvir Singh,SP,,,Male,
Uttar Pradesh,,Muradabad,S. T. Hasan,SP,,,Male,
Uttar Pradesh,,S. T. Hasan,Iqbal Mehmood,SP,,,Male,
Uttar Pradesh,,Rampur,Smt Jaya Prada,SP,,,Male,
Uttar Pradesh,,Amroha,Mehboob Ali,SP,,,Male,
Uttar Pradesh,,Meerut,Shahid Manzoor,SP,,,Male,
Uttar Pradesh,,Baagpat,Sahab Singh,SP,,,Male,
Uttar Pradesh,,Bulandshahar  ,Kamlesh Balmiki,SP,,,Male,
Uttar Pradesh,,Hathras,Anar Singh Divakar,SP,,,Male,
Uttar Pradesh,,Agra,Ramji Lal Suman,SP,,,Male,
Uttar Pradesh,,Fatehpur Sikri ,Smt Premkumari Parmar,SP,,,Female,
Uttar Pradesh,,Firozabad ,Akhilesh Yadav,SP,,,Male,
Uttar Pradesh,,Mainpuri,Mulayam Singh Yadav,SP,,,Male,
Uttar Pradesh,,Badaun,Dharmendra Yadav,SP,,,Male,
Uttar Pradesh,,Aanvala,Dharmendra Kashyap,SP,,,Male,
Uttar Pradesh,,Pilibhit,Riyaz Ahmad,SP,,,Male,
Uttar Pradesh,,Shahjahanpur  ,Mithilesh Kumar,SP,,,Male,
Uttar Pradesh,,Khiri,Raviprakash Varma,SP,,,Male,
Uttar Pradesh,,Sitapur,Mahendra Varma,SP,,,Male,
Uttar Pradesh,,Hardoi,Smt Usha Varma,SP,,,Male,
Uttar Pradesh,,Mishrikh,Shyam Prakash Pasi,SP,,,Male,
Uttar Pradesh,,Unnao ,Dipak Kumar,SP,,,Male,
Uttar Pradesh,,Mohanlal Ganj  ,Smt Sushila Saroj,SP,,SC,Female,
Uttar Pradesh,,Lucknow,Sanjay Dutt,SP,,,Male,
Uttar Pradesh,,Itawa,Premdas Katheria,SP,,,Male,
Uttar Pradesh,,Kannauj ,Akhilesh Yadav,SP,,,Male,
Uttar Pradesh,,Akbarpur,Kamlesh Pathak,SP,,,Male,
Uttar Pradesh,,Jalaun,Ghanshyam Anuragi,SP,,,Male,
Uttar Pradesh,,Jhansi,Chandrapal Singh,SP,,,Male,
Uttar Pradesh,,Hamirpur,Ashok Singh Chandel,SP,,,Male,
Uttar Pradesh,,Bauda,R K Singh Patel,SP,,,Male,
Uttar Pradesh,,Fatehpur,Rakesh Sachaan,SP,,,Male,
Uttar Pradesh,,Kaushaambi,Shailendra Kumar,SP,,,Male,
Uttar Pradesh,,Phulpur,Shyama Charan Gupta,SP,,,Male,
Uttar Pradesh,,Elahabaad,Kumari Revati Raman Singh,SP,,,Female,
Uttar Pradesh,,Baarabanki,Ram Sagar Rawat,SP,,,Male,
Uttar Pradesh,,Faizabad ,Mitra Sen Yadav,SP,,,Male,
Uttar Pradesh,,Ambedkar Nagar,Shankhlal Maujhi,SP,,,Male,
Uttar Pradesh,,Bahraich,Shabir Ahmad Balmiki,SP,,,Male,
Uttar Pradesh,,Kaisargunj,Brijbhushan Sharan Singh,SP,,,Male,
Uttar Pradesh,,Shrawasti ,Smt Ruaab Saeeda,SP,,,Female,
Uttar Pradesh,,Basti,Rajkishor Singh,SP,,,Male,
Uttar Pradesh,,Sant Kabir Nagar,Bhalchandra Yadav,SP,,,Male,
Uttar Pradesh,,Maharajganj,Shyamnarayan Tiwari,SP,,,Male,
Uttar Pradesh,,Gorakhpur,Manoj Tiwari,SP,,,Male,
Uttar Pradesh,,Devaria,Mohan Singh,SP,,,Male,
Uttar Pradesh,,Lalganj,Darogaprasad Saroj,SP,,,Male,
Uttar Pradesh,,Ajamgarh,Durga Prasad Yadav,SP,,,Male,
Uttar Pradesh,,Salempur,Hari Keval Prasad,SP,,,Male,
Uttar Pradesh,,Balia ,Neeraj Shekhar,SP,,,Male,
Uttar Pradesh,,Jaunpur,Parasnath Yadav,SP,,,Male,
Uttar Pradesh,,Machhli Shahar  ,Toofani Saroj,SP,,,Male,
Uttar Pradesh,,Gaazipur,Radhemohan Singh,SP,,,Male,
Uttar Pradesh,,Chandoli,Ram Kishun Yadav,SP,,,Male,
Uttar Pradesh,,Bhadohi,Ramrati Bind,SP,,,Male,
Uttar Pradesh,,Mirzapur,Balkumar Patel,SP,,,Male,
Uttar Pradesh,,Robertsganj  ,PakaudiLal Kol,SP,,,Male,
Uttar Pradesh,,Farukhabad ,Chandrabhushan Singh “Munnu Babu”,SP,,,Male,
Uttar Pradesh,,Pratapgarh ,Akshay Pratap Singh “Gopal Ji”,SP,,,Male,
Uttar Pradesh,,Sultanpur,Ashok Pandey,SP,,,Male,
Uttar Pradesh,,Varanasi ,Ajay Rai,SP,,,Male,
Uttar Pradesh,,Ghosi,Aftab Ansari,SP,,,Male,
Uttar Pradesh,,Chandauli,Ajay Rajbhar,SP,,,Male,
Uttar Pradesh,,Gautam Buddh Nagar,Narendra Bhati,SP,,,Male,
Uttar Pradesh,,Chandoli,Ram Kishun Yadav,SP,,,Male,
Uttar Pradesh,,Amroha,Madan Chauhan,SP,,,Male,
Uttar Pradesh,,Bareilly,Bhagwat Sharan Gangwar,SP,,,Male,
Uttar Pradesh,,Ambedkar Nagar,Sankhlal Manjhi,SP,,,Male,
Uttar Pradesh,,Nagina,Manoj Vyas,SP,,,Male,
Uttar Pradesh,,Kushi Nagar ,Brahmshanker,SP,,,Male,
